00000001 Logging: Session Logs Enabled
00000001 Logging: Application-Defined Items Enabled
00000001 Logging: Transaction Statistics Enabled
00000001 Logging: Transaction Timing Enabled
00000001 ooObjy Startup: [Wed Dec 04 19:33:58 2013]
 [process ID = 5220]
 [number of files = 12] [AMS usage = oocAMSPreferred]
 [install signal handler = oocTrue]
00000002 QA_MEMORY_LOG: Number of Threads: 1.
00000002 QA_MEMORY_LOG: Starting Memory Usage: 11.27344 MB
00000002 Connection Create: 
 [boot file = C:/FinalWorkspace/main/qatest/SharedCache/CPP/Simple/LogPerformance/win_x64/test.boot]
 [auto-recover = oocTrue]
00000002 New Session Pool: SessionPoolName
 [boot file = C:/FinalWorkspace/main/qatest/SharedCache/CPP/Simple/LogPerformance/win_x64/test.boot]
 [soft limit = 1][hard limit = 1][initial pages = 500][max pages = 500][large object memory limit = 4096000]
 [hot mode = false] [lock wait= 10][session wait = 0]
00000002 Initialize Thread: [thread ID = 7468]
00000002 Session Pool Session Create: [session name = Pool_SessionPoolName_1]
00000004 Autorecovery: [successful]
 [boot file = C:/FinalWorkspace/main/qatest/SharedCache/CPP/Simple/LogPerformance/win_x64/test.boot]
00005238 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 181000
00005246 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 182000
00005254 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 183000
00005263 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 184000
00005271 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 185000
00005280 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 186000
00005289 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 187000
00005297 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 188000
00005322 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 189000
00005331 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 190000
00005341 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 191000
00005349 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 192000
00005357 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 193000
00005365 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 194000
00005373 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 195000
00005382 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 196000
00005392 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 197000
00005402 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 198000
00005411 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 199000
00005438 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 200000
00005552 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 201000
00005561 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 202000
00005582 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 203000
00005592 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 204000
00005601 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 205000
00005609 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 206000
00005617 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 207000
00005674 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 208000
00005682 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 209000
00005691 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 210000
00005699 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 211000
00005707 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 212000
00005716 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 213000
00005724 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 214000
00005890 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 215000
00005900 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 216000
00005923 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 217000
00005933 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 218000
00005967 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 219000
00005976 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 220000
00005990 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 221000
00006002 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 222000
00006011 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 223000
00006019 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 224000
00006027 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 225000
00006035 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 226000
00006115 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 227000
00006268 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 228000
00006291 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 229000
00006303 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 230000
00006481 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 231000
00006542 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 232000
00006551 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 233000
00006576 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 234000
00006585 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 235000
00006594 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 236000
00006603 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 237000
00006611 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 238000
00006620 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 239000
00006628 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 240000
00006636 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 241000
00006645 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 242000
00006654 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 243000
00006662 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 244000
00006673 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 245000
00006682 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 246000
00006688 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 247000
00006695 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 248000
00006703 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 249000
00006712 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 250000
00006720 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 251000
00006728 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 252000
00006737 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 253000
00006855 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 254000
00006865 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 255000
00006951 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 256000
00007172 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 257000
00007269 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 258000
00007315 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 259000
00007382 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 260000
00007483 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 261000
00007492 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 262000
00007522 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 263000
00007532 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 264000
00007540 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 265000
00007548 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 266000
00007556 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 267000
00007565 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 268000
00007573 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 269000
00007582 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 270000
00007591 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 271000
00007599 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 272000
00007607 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 273000
00007616 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 274000
00007624 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 275000
00007632 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 276000
00007641 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 277000
00007648 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 278000
00007656 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 279000
00007665 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 280000
00007673 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 281000
00007682 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 282000
00007690 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 283000
00007697 QA_MEMORY_LOG: Thread 0 Memory: 16.48438 MB. Count: 284000
