00000000 Logging: Session Logs Enabled
00000000 Logging: Application-Defined Items Enabled
00000000 Logging: Transaction Statistics Enabled
00000000 Logging: Transaction Timing Enabled
00000000 ooObjy Startup: [Wed Dec 04 19:32:47 2013]
 [process ID = 1104]
 [number of files = 12] [AMS usage = oocAMSPreferred]
 [install signal handler = oocTrue]
00000001 QA_MEMORY_LOG: Number of Threads: 1.
00000001 QA_MEMORY_LOG: Starting Memory Usage: 11.28125 MB
00000001 Connection Create: 
 [boot file = C:/FinalWorkspace/main/qatest/SharedCache/CPP/Simple/LogPerformance/win_x64/test.boot]
 [auto-recover = oocTrue]
00000001 New Session Pool: SessionPoolName
 [boot file = C:/FinalWorkspace/main/qatest/SharedCache/CPP/Simple/LogPerformance/win_x64/test.boot]
 Shared Cache: [initial page space = 4096000][max page space = 4096000][initial large objects = 0][max large objects = 500][max large object space = 4096000]
 [hot mode = false] [lock wait= 10][session wait = 0]
00000001 Initialize Thread: [thread ID = 6444]
00000002 Session Pool Session Create: [session name = Pool_SessionPoolName_1] (Shared Cache)
00000003 Autorecovery: [successful]
 [boot file = C:/FinalWorkspace/main/qatest/SharedCache/CPP/Simple/LogPerformance/win_x64/test.boot]
00002470 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 109000
00002477 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 110000
00002482 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 111000
00002652 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 112000
00002659 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 113000
00002666 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 114000
00002818 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 115000
00002824 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 116000
00002845 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 117000
00002851 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 118000
00002969 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 119000
00002987 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 120000
00002997 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 121000
00003008 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 122000
00003088 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 123000
00003098 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 124000
00003120 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 125000
00003131 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 126000
00003142 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 127000
00003151 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 128000
00003160 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 129000
00003169 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 130000
00003358 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 131000
00003367 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 132000
00003374 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 133000
00003382 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 134000
00003390 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 135000
00003426 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 136000
00003435 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 137000
00003458 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 138000
00003466 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 139000
00003475 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 140000
00003482 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 141000
00003489 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 142000
00003497 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 143000
00003505 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 144000
00003513 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 145000
